en;nl;fr;de;sv;pl;no;es;it;pt;lv;lt
The multiplier can not be used in combination with the combine into quotation group option.;"De ""Quotation group multiplier"" kan niet worden gebruikt in combinatie met de optie ""Combineren in offertegroep"".";;"Der ""Quotation group multiplier"" kann nicht in Kombination mit der Option ""Als Angebotsgruppe zusammenfassen"" verwendet werden.";;;Multiplikatoren kan ikke brukes kombinert med et tilbud med en alternativ gruppe.;El multiplicador no puede utilizarse en combinación con la opción combinar en grupo de cotización.;Il moltiplicatore non può essere usato in combinazione con l'opzione Combina in gruppo di preventivi.;O multiplicador não pode ser usado em combinação com a opção combinar em grupo de cotação.;"""Reizinātāju nevar izmantot kopā ar opciju """"Apvienot piedāvājuma grupā"""".""";Daugiklis negali būti naudojamas kartu su parinktimi „Sujungti į pasiūlymo grupę“.
The combine into quotation group option can not be used in combination with the multiplier option.;"De optie ""Combineren in offertegroep"" kan niet worden gebruikt in combinatie met de ""Quotation group multiplier"".";;"Die Option ""Als Angebotsgruppe zusammenfassen"" kann nicht in Kombination mit dem ""Quotation group multiplier"" verwendet werden.";;;Škombinere dette inn i tilbudsgruppe kan ikke brukes i kombinasjon med multiplikatoralternativet.;La opción combinar en grupo de cotización no puede utilizarse en combinación con la opción multiplicador.;L'opzione Combina in gruppo di preventivi non può essere usata in combinazione con l'opzione Moltiplicatore.;A opção combinar em grupo de cotação não pode ser usada em combinação com a opção multiplicador.;Apvienoto grupu apvienošanu nevar izmantot kombinācijā ar reizinātāja opciju.;„Derinio į pasiūlymo grupės“ parinktį negalima naudoti kartu su daugiklio parinktimi.
All of the steps are hidden in the;Alle stappen zijn verborgen in de;;Alle Schritte verbergen im;;;Alle trinnene er skjult i;Todos los pasos están ocultos en el;Tutti i passaggi sono nascosti nella finestra;Todas as etapas estão ocultas no;Visas darbības ir paslēptas;Visi veiksmai yra paslėpti
the;de;;der;;;omr?t;el;il;o;līdz;
Click or drag a 3D model file to this area to upload;Drag and drop een 3D-modelbestand naar dit gebied om te uploaden, of klik om een bestand te selecteren.;;Um ein 3D-Modell hochzuladen, ziehen Sie es in diesen Bereich, oder wählen Sie eine Datei aus.;;;Klikk eller dra en 3D-modellfil til dette omr?t for ?aste den opp.;Haga clic o arrastre un archivo de modelo 3D a esta área para cargarlo;Fare clic o trascinare un file di modello 3D in quest'area per caricarlo.;Clique ou arraste um arquivo de modelo 3D para esta área para fazer upload;Noklikšķiniet vai velciet 3D modeļa failu uz šo apgabalu, lai augšupielādētu;Norėdami įkelti, spustelėkite arba vilkite 3D modelio failą į šią sritį
Maximum file size:;Maximale bestandsgrootte:;;Maximale Dateigröße:;;;Maksimal filstørrelse:;Tamaño máximo del archivo:;Dimensione massima del file:;Tamanho máximo do arquivo:;Maksimālais faila lielums:;Maksimalus failo dydis:
Supported file extensions:;Ondersteunde bestandsextensies:;;Unterstützte Dateiformate:;;;Filutvidelser som støttes:;Extensiones de archivo compatibles:;Estensioni di file supportate:;Extensões de arquivo suportadas:;Atbalstītie failu paplašinājumi:;Palaikomi failų plėtiniai:
Manage table preferences;Beheer tabeleigenschappen;Gérer les préférences de la table;Tabellenpräferenzen verwalten;Hantera tabellinställningar;Zarządzaj preferencjami tabeli;Administrer tabellinnstillinger;Gestionar las preferencias de las mesas;Gestione delle preferenze della tabella;Gerenciar preferências de tabela;Pārvaldiet tabulas preferences;Tvarkykite lentelės nuostatas
Manage table;Beheer tabel;Gérer la table;Tabelle verwalten;Hantera tabell;Zarządzaj tabelą;Administrer tabell;Gestionar mesa;Gestire la tabella;Gerenciar tabela;Pārvaldīt tabulu;Tvarkykite lentelę
Enable overview page;Overzichtspagina inschakelen;;Übersichtsseite einschalten;;;;Activar la página de resumen;Abilita la pagina di riepilogo;Ativar página de visão geral;Iespējot pārskata lapu;Įgalinkite apžvalgos puslapį
Adds an overview page which users will see before going to the checkout page.;Voegt een overzichtspagina toe die gebruikers te zien krijgen voordat ze naar de checkout gaan.;;Fügt eine Übersicht hinzu, die die Benutzer sehen, bevor sie zum Checkout gehen.;;;;Añade una página de resumen que los usuarios verán antes de ir a la página de pago.;Aggiunge una pagina di riepilogo che gli utenti vedranno prima di passare alla pagina di pagamento.;Adiciona uma página de visão geral que os usuários verão antes de ir para a página de checkout.;Pievieno pārskata lapu, kuru lietotāji redzēs pirms došanās uz kases lapu.;Pridėkite apžvalgos puslapį, kurį vartotojai pamatys prieš eidami į kasos puslapį.
Input field;Invoerveld;;Eingabefeld;;;;Campo de entrada;Campo di inserimento;Campo de entrada;Ievades lauks;Įvesties laukas
Add or remove columns for the current table. To change the column order, drag and drop a field. Column names can also be customized.;Voeg kolommen toe of verwijder ze uit de huidige tabel. Om de volgorde van de kolommen te wijzigen, sleep een veld naar de gewenste positie. Kolomnamen kunnen ook worden aangepast.;;Fügen Sie Spalten zur aktuellen Tabelle hinzu oder entfernen Sie sie. Um die Spaltenreihenfolge zu ändern, ziehen Sie ein Feld per Drag-and-Drop. Spaltennamen können ebenfalls angepasst werden.;;;;Añada o elimine columnas de la tabla actual. Para cambiar el orden de las columnas, arrastre y suelte un campo. También se pueden personalizar los nombres de las columnas.;Aggiunge o rimuove colonne per la tabella corrente. Per modificare l'ordine delle colonne, trascinare e rilasciare un campo. È possibile personalizzare anche i nomi delle colonne.;Adicione ou remova colunas da tabela atual. Para alterar a ordem das colunas, arraste e solte um campo. Os nomes das colunas também podem ser personalizados.;Pievienojiet vai noņemiet kolonnas pašreizējai tabulai. Lai mainītu kolonnas pasūtījumu, velciet un nometiet lauku. Var pielāgot arī kolonnu nosaukumus.;Pridėkite arba pašalinkite dabartinės lentelės stulpelius. Norėdami pakeisti stulpelio užsakymą, vilkite ir numeskite lauką. Stulpelių pavadinimai taip pat gali būti pritaikyti.
Column options;Kolomopties;;Spaltenoptionen;;;;Opciones de columna;Opzioni colonna;Opções de coluna;Kolonnu opcijas;Stulpelio parinktys
Enter the name of this preference preset. This name will be used when using multiple preference presets on a single table.;Voer een naam in voor deze voorkeurspreset. Deze naam wordt gebruikt wanneer er meerdere presets op één tabel worden toegepast.;;Geben Sie einen Namen für diese Voreinstellung ein. Dieser Name wird verwendet, wenn mehrere Voreinstellungen auf eine einzige Tabelle angewendet werden.;;;;Introduzca el nombre de este ajuste preestablecido de preferencias. Este nombre se utilizará cuando se usen varios preajustes de preferencias en una misma tabla.;Inserire il nome di questa preimpostazione di preferenze. Questo nome verrà utilizzato quando si utilizzano più preimpostazioni di preferenze su una singola tabella.;Insira o nome desta predefinição de preferência. Este nome será usado ao usar múltiplas predefinições de preferência em uma única tabela.;Ievadiet šī preferenču iestatījuma nosaukumu. Šis nosaukums tiks izmantots, izmantojot vairākus preferenču iestatījumus vienā tabulā.;Įveskite šio pirmenybės pavadinimą. Šis vardas bus naudojamas naudojant kelis pasirinkimo nustatymus ant vienos lentelės.
Preference name;Instellingsnaam;;Einstellungsname;;;;Nombre de preferencia;Nome della preferenza;Nome de preferência;Preferences nosaukums;Pirmenybės pavadinimas
Learn more;Leer meer;En savoir plus;Erfahre mehr über;Läs mer;Dowiedz się więcej;Lær mer;Más información;Per saperne di più;Aprender mais sobre;Uzziniet vairāk par;Išmokti daugiau apie
Learn more about;Leer meer over;;Erfahre mehr über;;;;Más información;Per saperne di più;Aprender mais sobre;Uzziniet vairāk par;Išmokti daugiau apie
Learn more about the;Leer meer over de;;Erfahre mehr über den;;;;Más información sobre el;Per saperne di più sulle;Saiba mais sobre o;Uzziniet vairāk par;Sužinokite daugiau apie
Configuration model circular dependencies;Configuratiemodel Circular Dependencies;;Konfigurationsmodell Circular Dependencies;;;;Dependencias circulares del modelo de configuración;Dipendenze circolari del modello di configurazione;Dependências circulares do modelo de configuração;Konfigurācijas modeļa apļveida atkarības;Konfigūracijos modelio žiedinės priklausomybės
Visualize;Visualiseren;;Visualisieren;;;;Visualice;Visualizzare;Visualizar;Vizualizēt;Vizualizuokite
Check Dependencies;Check Dependencies;;Check Dependencies;;;;Comprobar dependencias;Controllare le dipendenze;Verifique as dependências;Pārbaudiet atkarības;Patikrinkite priklausomybes
Enter a name;Voer een naam in;;Namen eingeben;;;;Introduzca un nombre;Inserire un nome;Insira o nome;Ievadiet vārdu;Įveskite vardą
Enter a code;Voer een code in;;Code eingeben;;;;Introduzca un código;Immettere un codice;Insira um código;Ievadiet kodu;Įveskite kodą
Reference used by third-party integrations;Referentie gebruikt door derde partij integraties;;Referenz, die von Integrationen Dritter verwendet wird;;;;Referencia utilizada por integraciones de terceros;Riferimento utilizzato da integrazioni di terze parti;Referência usada por integrações de terceiros;Atsauce, ko izmanto trešo personu integrācijas;Nuoroda, naudojama trečiųjų šalių integracijose
Descriptions;Beschrijvingen;;Beschreibungen;;;;Descripciones;Descrizioni;Descrições;Apraksti;Aprašymai
HTML Formatting;HTML opmaak;;HTML-Formatierung;;;;Formato HTML;Formattazione HTML;Formatação HTML;HTML formatēšana;HTML formatavimas
External name;Externe naam;;Externer Name;;;;Nombre externo;Nome esterno;Nome externo;Ārējais nosaukums;Išorinis vardas
Extended descriptions;Uitgebreide beschrijvingen;;Detaillierte Beschreibungen;;;;Descripciones ampliadas;Descrizioni estese;Descrições estendidas;Paplašināti apraksti;Išplėstiniai aprašymai
Explanation;Verklaring;;Erklärung;;;;Explicación;Spiegazione;Explicação;Paskaidrojums;Paaiškinimas
Text for exporting;Tekst voor exporteren;;Text zum Exportieren;;;;Texto para exportar;Testo per l'esportazione;Texto para exportação;Eksportēšanas teksts;Eksporto tekstas
Upload an image of yourself, or change the e-mail adres which is used to login.;Upload een afbeelding van jezelf of wijzig de e-mail dat wordt gebruikt om in te loggen.;;Laden Sie ein Bild von sich hoch oder ändern Sie die E-Mail, die für die Anmeldung verwendet wird.;;;;Cargue una imagen suya o cambie la dirección de correo electrónico utilizada para acceder a su cuenta.;Caricare una propria immagine o modificare l'indirizzo e-mail utilizzato per il login.;Carregue uma imagem sua ou altere o endereço de e-mail usado para fazer login.;Augšupielādējiet sevis attēlu vai mainiet e-pasta adresu, ko izmanto, lai pieteiktos.;Įkelkite savo atvaizdą arba pakeiskite el. Pašto adresą, kuris naudojamas prisijungti.
Change the password that is used to login into your account.;Wijzig het wachtwoord dat wordt gebruikt om in te loggen op je account.;;Ändern Sie das Passwort, welches Sie für Ihren Account verwenden.;;;;Cambia la contraseña que se utiliza para acceder a tu cuenta.;Modificare la password utilizzata per accedere al proprio account.;Altere a senha usada para fazer login em sua conta.;Mainiet paroli, ko izmanto, lai pieteiktos jūsu kontā.;Pakeiskite slaptažodį, kuris naudojamas prisijungti prie jūsų paskyros.
Change;Veranderen;Changer;Ändern;Ändra;Zmiana;Endre;Cambiar;Cambiare;Mudar;Mainīt;Pakeisti
Disable two factor authentication;Schakel twee-factor-authenticatie uit;;Zwei-Faktor-Authentifizierung deaktivieren;;;;Desactivar la autenticación de dos factores;Disattivare l'autenticazione a due fattori;Desative a autenticação de dois fatores;Atspējojiet divu faktoru autentifikāciju;Išjunkite dviejų faktorių autentifikavimą
Disable SSO;Schakel SSO uit;;SSO ausschalten;;;;Desactivar SSO;Disattivare SSO;Desativar SSO;Atspējot SSO;Išjungti SSO
Enable SSO;Schakel SSO in;;SSO einschalten;;;;Activar SSO;Abilitare SSO;Habilitar SSO;Iespējot SSO;Įgalinti SSO
The following permissions have been granted to your account:;De volgende rechten zijn toegewezen aan je account:;;Die folgenden Berechtigungen wurden für Ihren Account erteilt:;;;;Se han concedido los siguientes permisos a su cuenta:;Al vostro account sono state concesse le seguenti autorizzazioni:;As seguintes permissões foram concedidas à sua conta:;Jūsu kontam ir piešķirtas šādas atļaujas:;Jūsų paskyroje buvo išduoti šie leidimai:
Enter a reference;Referentie invoeren;;Referenz eingeben;;;;Introduzca una referencia;Inserire un riferimento;Insira uma referência;Ievadiet atsauci;Įveskite nuorodą
Past logins;Vorige logins;;Letzte Anmeldungen;;;;Conexiones anteriores;Accessi precedenti;Logins anteriores;Pagātnes pieteikšanās;Praeities prisijungimai
You have logged into your account from the following devices:;Je hebt je ingelogd op je account met de volgende apparaten:;;Sie haben sich mit den folgenden Geräten bei Ihrem Account angemeldet:;;;;Has iniciado sesión en tu cuenta desde los siguientes dispositivos:;L'utente ha effettuato l'accesso al proprio account dai seguenti dispositivi:;Você fez login em sua conta nos seguintes dispositivos:;Jūs esat pieteicies savā kontā no šādām ierīcēm:;Jūs prisijungėte prie savo paskyros iš šių įrenginių:
Timestamp;Tijdstempel;Horodatage;Zeitstempel;Tidsstämpel;Znacznik czasu;Tidsstempel;Sello de tiempo;Marca temporale;Carimbo de data/hora;Laika zīmogs;Laiko žymė
Delete account;Verwijder account;;Account löschen;;;;Eliminar cuenta;Elimina account;Deletar conta;Dzēst kontu;Ištrinti paskyrą
This will delete your user account. Note that once your account is deleted, it cannot be restored.;Hiermee wordt uw account verwijderd. Let op: als je account eenmaal verwijderd is, kan het niet meer hersteld worden.;;Hiermit wird Ihr Benutzeraccount gelöscht. Sobald Ihr Account gelöscht ist, kann er nicht wiederhergestellt werden.;;;;Esto eliminará su cuenta de usuario. Tenga en cuenta que una vez eliminada su cuenta, no podrá restaurarse.;Consente di eliminare l'account utente. Una volta eliminato, l'account non può essere ripristinato.;Isso excluirá sua conta de usuário. Observe que depois que sua conta for excluída, ela não poderá ser restaurada.;Tas izdzēsīs jūsu lietotāja kontu. Ņemiet vērā, ka pēc jūsu konta izdzēšanas to nevar atjaunot.;Tai ištrins jūsų vartotojo abonementą. Atminkite, kad ištrynus jūsų paskyrą, jos negalima atkurti.
Delete your account;Verwijder je account;;Löschen Sie Ihren Account;;;;Eliminar su cuenta;Eliminare l'account;Deletar sua conta;Izdzēsiet savu kontu;Ištrinkite savo sąskaitą
Enter tags;Voer tags in;;Tags eingeben;;;;Introducir etiquetas;Inserisci tag;Insira tags;Ievadiet tagus;Įveskite žymas
This option disallows a user to apply a discount on a quotation line for this feature.;Met deze optie kan een gebruiker geen korting toepassen op een offerteregel voor deze feature.;;Diese Option verhindert, dass ein Benutzer einen Rabatt auf eine Angebotsposition für dieses Feature anwenden kann.;;;;Esta opción impide que un usuario aplique un descuento en una línea de presupuesto para esta función.;Questa opzione impedisce all'utente di applicare uno sconto su una riga di preventivo per questa funzione.;Esta opção não permite que um usuário aplique um desconto em uma linha de cotação para esse recurso.;Šī opcija neļauj lietotājam izmantot atlaidi šai funkcijai piedāvājuma rindai.;Ši parinktis neleidžia vartotojui pritaikyti šios funkcijos pasiūlymo eilutės nuolaidą.
Warning;Waarschuwing;;Warnung;;;;Advertencia;Avvertenze;Aviso;Brīdinājums;Įspėjimas
Circular dependencies could take a minute to find, do you want continue?;Het vinden van Circular Dependencies kan even duren. Wil je doorgaan?;;Die Suche nach Circular Dependencies kann einige Minuten dauern. Möchten Sie fortfahren?;;;;Las dependencias circulares podrían tardar un minuto en encontrarse, ¿desea continuar?;Le dipendenze circolari potrebbero richiedere un minuto per essere trovate, volete continuare?;As dependências circulares podem levar um minuto para serem encontradas. Deseja continuar?;Apļveida atkarības varētu aizņemt minūti, lai atrastu, vai vēlaties turpināt?;Apskritai priklausomybės gali užtrukti minutę, kol norite tęsti?
Continue;Doorgaan;;Weiter;;;;Continuar;Continua;Continuar;Turpināt;Tęsti
Circular Dependency result;Circular Dependency resultaten;;Circular Dependency Ergebnis;;;;Resultado de la relación circular;Risultato della dipendenza circolare;Resultado de Dependência Circular;Apļveida atkarības rezultāts;Apskritai priklausomybės rezultatas
No Circular Dependencies found in the configuration model.;Geen Circular Dependencies gevonden in het configuratiemodel.;;Keine Circular Dependencies im Konfigurationsmodell gefunden.;;;;No se han encontrado dependencias circulares en el modelo de configuración.;Nessuna dipendenza circolare trovata nel modello di configurazione.;Nenhuma dependência circular encontrada no modelo de configuração.;Konfigurācijas modelī nav atrasta apļveida atkarība.;Konfigūracijos modelyje nerasta apskritų priklausomybių.
Find circular dependencies error;Fout in Circular Dependencies vinden;;Fehler in Circular Dependencies finden;;;;Error de búsqueda de dependencias circulares;Errore nella ricerca delle dipendenze circolari;Encontre erro de dependências circulares;Atrodiet apļveida atkarību kļūdu;Raskite žiedinių priklausomybių klaidą
Something went wrong while trying to find circular dependencies. Please try again later or contact support if it keeps occuring.;Er ging iets mis tijdens het zoeken naar Circular Dependencies. Probeer het later nog eens of neem contact op met support als dit probleem zich opnieuw voordoet.;;Beim Versuch, Circular Dependencies zu finden, ist etwas schief gelaufen. Bitte versuchen Sie es später erneut oder kontaktieren Sie unseren Support, wenn das Problem erneut auftritt.;;;;Algo ha ido mal al intentar encontrar dependencias circulares. Vuelva a intentarlo más tarde o póngase en contacto con el servicio de asistencia si sigue ocurriendo.;Qualcosa è andato storto durante il tentativo di trovare le dipendenze circolari. Riprovare più tardi o contattare l'assistenza se il problema continua a verificarsi.;Algo deu errado ao tentar encontrar dependências circulares. Tente novamente mais tarde ou entre em contato com o suporte se o problema persistir.;Kaut kas nogāja greizi, mēģinot atrast apļveida atkarības. Lūdzu, vēlāk mēģiniet vēlreiz vai sazinieties ar atbalstu, ja tas notiek.;Kažkas nutiko bandant rasti apskritas priklausomybes. Bandykite dar kartą vėliau arba susisiekite su palaikymu, jei jis išliks.
Mobile phone number;Mobiele telefoonnummer;Numéro de téléphone mobile;Handynummer;Mobiltelefonnummer;Numer telefonu komórkowego;;Número de teléfono móvil;Numero di telefono cellulare;número de celular;Mobilā tālruņa numurs;Mobilaus telefono numeris
Street name;Straatnaam;Nom de rue;Straßenname;Gatunamn;Nazwa ulicy;;Nombre de la calle;Nome della strada;nome da rua;ielas nosaukums;gatvės pavadinimas
This configuration is not possible. Your last change could not be saved.;Deze configuratie is niet mogelijk. Je laatste wijziging kon niet worden opgeslagen.;Cette configuration n'est pas possible. Votre dernière modification n'a pas pu être enregistrée.;Diese Konfiguration ist nicht möglich. Ihre letzte Änderung konnte nicht gespeichert werden.;;;;Esta configuración no es posible. No se ha podido guardar el último cambio.;Questa configurazione non è possibile. Non è stato possibile salvare l'ultima modifica.;Esta configuração não é possível. Não foi possível salvar sua última alteração.;Šī konfigurācija nav iespējama. Jūsu pēdējās izmaiņas nevarēja saglabāt.;Ši konfigūracija neįmanoma. Paskutinio pakeitimo nepavyko išsaugoti.
The issue could be caused by a change in the parent configuration.;Het probleem kan worden veroorzaakt door een wijziging in de parent configuratie.;Le problème peut être causé par un changement dans la configuration parente.;Das Problem ist möglicherweise auf eine Änderung in der Parent-Konfiguration zurückzuführen.;;;;El problema puede deberse a un cambio en la configuración principal.;Il problema potrebbe essere causato da una modifica della configurazione del genitore.;O problema pode ser causado por uma alteração na configuração pai.;Problēmu var izraisīt vecāku konfigurācijas izmaiņas.;Problemą gali sukelti pirminės konfigūracijos pasikeitimas.
Child function;Child function;;Child function;;;;;Funzione figlio;Função infantil;Bērna darbība;Vaiko funkcija
Sum;Sum;;Sum;;;;;Somma;Soma;Summa;Suma
Average;Average;;Average;;;;;Media;Média;Vidējs;Vidurkis
If the Children option is selected, this dropdown allows you to specify how all values in the variable are treated. Only the values of the children that are selected will be included in the variable.;Als de optie Children is geselecteerd, kunt u in deze dropdown aangeven hoe alle waarden in de variabele worden behandeld. Alleen de waarden van de geselecteerde Children worden in de variabele opgenomen.;;Wenn die Option Children ausgewählt ist, können Sie in diesem Dropdown-Menü festlegen, wie alle Werte in der Variablen behandelt werden. Nur die Werte der ausgewählten Children werden in die Variable aufgenommen.;;;;;Se l'opzione Figli è selezionata, questa tendina consente di specificare il trattamento di tutti i valori della variabile. Solo i valori dei figli selezionati saranno inclusi nella variabile.;Se a opção Filhos estiver selecionada, este menu suspenso permitirá especificar como todos os valores na variável serão tratados. Somente os valores dos filhos selecionados serão incluídos na variável.;Ja ir atlasīta opcija Bērnu, šī nolaižamība ļauj jums norādīt, kā tiek apstrādātas visas mainīgā vērtības. Mainīgajā tiks iekļautas tikai izvēlēto bērnu vērtības.;Jei pasirenkama parinktis „Vaikai“, šis išskleidimas leidžia jums nurodyti, kaip gydomos visos kintamojo vertės. Į kintamąjį bus įtrauktos tik atrinkti vaikų vertės.
Quote;Offerte;;Angebot;;;;;Preventivo;Citar;Citēt;Citata
Created on;Gemaakt op;Créé le;Erstellt am;Skapad den;Utworzono dnia;Opprettet den;Creado el;Creato il;Criado em;Izveidots;Sukurta
Employee;Werknemer;Employé;Mitarbeiter;Anställd;Pracownik;Ansatt;Empleado;Dipendente;Empregado;Darbinieks;
Debtor name;Naam debiteur;Nom du débiteur;Name Schuldner;Skuldsatt namn;Nazwa dłużnika;Debitor navn;Nombre del deudor;Nome del debitore;Nome do devedor;Parādnieka vārds;Skolininko vardas
Create revision;Maak revisie;;Revision erstellen;;;;;Revisione della creazione;Criar revisão;Izveidot pārskatīšanu;Sukurkite peržiūrą
Expiry Date;Vervaldatum;Date d'expiration;Verfallsdatum;;;;;Data di scadenza;Data de validade;Derīguma termiņš;Galiojimo laikas
Request Demo;Demo aanvragen;;Demo anfragen;;;;;;Solicitar demonstração;Pieprasīt demonstrāciju;Prašyti demonstracinę versiją
Is greater or equal to;Is groter dan of gelijk aan;Est supérieur ou égal à;Ist größer oder gleich;Är större än eller lika med;Jest większe lub równe;Er større enn eller lik;Es mayor o igual a;È maggiore o uguale a;É maior ou igual a;Ir lielāks vai vienāds ar;Yra didesnis arba lygus
Is equal to;Is gelijk aan;Est égal à;Ist gleich;Är lika med;Jest równe;Er lik;Es igual a;È uguale a;É igual a;Ir vienāds ar;Yra lygus
Is less or equal to;Is kleiner dan of gelijk aan;Est inférieur ou égal à;Ist kleiner oder gleich;Är mindre än eller lika med;Jest mniejsze lub równe;Er mindre enn eller lik;Es menor o igual a;È minore o uguale a;É menor ou igual a;Ir mazāk vai vienāds ar;Yra mažiau arba lygus
Contains;Bevat;Contient;Enthält;Innehåller;Zawiera;Inneholder;Contiene;Contiene;Contém;Satur;Yra
Starts with;Begint met;Commence par;Beginnt mit;Börjar med;Zaczyna się od;Starter med;Empieza con;Inizia con;Começa com;Sākas ar;Prasideda su
Ends with;Eindigt met;Se termine par;Endet mit;Slutar med;Kończy się na;Slutter med;Termina con;Finisce con;Termina com;Beidzas ar;Baigiasi
Start configuring the order you need.;Begin met het configureren van de order die je nodig hebt.;Commencez à configurer la commande dont vous avez besoin.;Beginnen Sie mit der Konfiguration der gewünschten Bestellung.;Börja konfigurera den order du behöver.;Rozpocznij konfigurowanie zamówienia, którego potrzebujesz.;Begynn å konfigurere bestillingen du trenger.;Comience a configurar el pedido que necesita.;Inizia a configurare l'ordine di cui hai bisogno.;Comece a configurar o pedido que você precisa.;Sāciet konfigurēt nepieciešamo pasūtījumu.;Pradėkite konfigūruoti jums reikalingą užsakymą.
Welcome back;Welkom terug;Bienvenue à nouveau;Willkommen zurück;Välkommen tillbaka;Witamy z powrotem;Velkommen tilbake;Bienvenido de nuevo;Bentornato;bem vindo de volta;Laipni lūdzam atpakaļ;Sveikas sugrįžęs
Help;Help;Aide;Hilfe;Hjälp;Pomoc;Hjelp;Ayuda;Aiuto;Ajuda;Palīdzēt;Padėti
Add text filter;Voeg tekstfilter toe;Ajouter un filtre de texte;Textfilter hinzufügen;Lägg till textfilter;Dodaj filtr tekstu;Legg til tekstfilter;Agregar filtro de texto;Aggiungi filtro di testo;Adicionar filtro de texto;Pievienot teksta filtru;Pridėti teksto filtrą
selected text value of;geselecteerde tekstwaarde van;valeur de texte sélectionnée de;ausgewählter Textwert vom;valt textvärde av;wybrana wartość tekstu z;valgt tekstverdi av;texto seleccionado de;valore testuale selezionato di;valor de texto selecionado de;izvēlētais teksta vērtība no;pasirinkto teksto vertė iš
Additional surcharge;Extra opslag;;Aufschlag;;;;;;;;
Profit Margin;Winst marge;;Gewinnmarge;;;;;;;;
Profit Margin shows you the real profit you're making from selling your products, after all costs are considered. Imagine every time you sell something, you have to pay for making the product, getting it to customers, and other expenses. Profit Margin calculates how much money you actually keep after paying for all these things. It's very helpful for understanding which products make you the most money and which ones might not be as profitable as you thought.;Winst marge laat je de echte winst zien die je maakt op de verkoop van je producten, nadat alle kosten zijn meegerekend. Stel je voor dat je elke keer dat je iets verkoopt, moet betalen voor het maken van het product, het naar klanten verzenden, en andere uitgaven. Winst marge berekent hoeveel geld je daadwerkelijk overhoudt na het betalen van al deze dingen. Het is heel handig om te begrijpen welke producten je het meeste geld opleveren en welke misschien niet zo winstgevend zijn als je dacht.;;Die Gewinnmarge zeigt Ihnen den tatsächlichen Gewinn, den Sie mit dem Verkauf Ihrer Produkte erzielen, nachdem alle Kosten berücksichtigt wurden. Stellen Sie sich vor, dass Sie jedes Mal, wenn Sie etwas verkaufen, für die Herstellung des Produkts, den Transport zu den Kunden und andere Ausgaben aufkommen müssen. Die Gewinnmarge berechnet, wie viel Geld Ihnen nach Abzug all dieser Kosten tatsächlich bleibt. Das ist sehr hilfreich, um zu verstehen, mit welchen Produkten Sie das meiste Geld verdienen und welche vielleicht nicht so profitabel sind, wie Sie dachten.;;;;;;;;
Additional surcharge helps you add a little extra to your prices to make more profit. Think of it as adding a cherry on top of your usual price, giving you a bit more money without changing your main prices. You can use it when you want to make extra profit because of special reasons. It's an easy way to make sure you're earning more without making big changes.;Extra opslag helpt je een klein extraatje aan je prijzen toe te voegen om meer winst te maken. Zie het als een kers op de taart bovenop je gebruikelijke prijs, waardoor je iets meer verdient zonder je hoofdprijzen te veranderen. Je kunt dit gebruiken wanneer je om speciale redenen extra winst wilt maken. Het is een eenvoudige manier om ervoor te zorgen dat je meer verdient zonder grote wijzigingen door te voeren.;;Mit einem Aufschlag können Sie Ihre Preise ein wenig erhöhen, um mehr Gewinn zu erzielen. Stellen Sie sich vor, Sie legen noch ein Sahnehäubchen auf Ihren normalen Preis und erhalten so ein bisschen mehr Geld, ohne Ihre Hauptpreise zu ändern. Nutzen Sie diese Möglichkeit, wenn Sie aus besonderen Gründen einen zusätzlichen Gewinn erzielen möchten. Es ist ein einfacher Weg, um sicherzustellen, dass Sie mehr verdienen, ohne große Änderungen vorzunehmen.;;;;;;;;
Absolute organization sales prices;Absolute organisatieverkoopprijzen;;Absolute Organisationsverkaufspreise;;;;;;;;
